slug,term,target,detector_kind,in_snapshot_parquet,in_crawl_paragraph_table,resolved_citation,verdict,reason
associate,associate,942-210-S99-1,paragraph not in snapshot,False,False,210-942-S99-1,artifact,"The SEC S99 paragraph exists in the crawl but under a transposed key 210-942-S99-1: the crawler entered industry subtopic 942-210 through Topic 210's cross-reference view and derived citations from that path. The raw HTML body cites it as 942-210-S99-1. Not missing from FASB and not missing from the crawl, only mis-keyed."
benefit-formula,benefit formula,Pension Benefit Formula,pointer to a term with no entry,False,False,"glossary slug pension-benefit-formula (labelled ""plan's benefit formula"")",artifact,"Pointer text ""Pension Benefit Formula"" is intact; the target entry exists (slug pension-benefit-formula). Detector compared against the site dataset's display label ""plan's benefit formula"", which is taken from paragraph link text."
benefit,benefits,Tax,pointer to a term with no entry,False,False,"glossary slug tax-or-benefit (labelled ""tax (or benefit)"")",artifact,"Pointer text ""Tax (or Benefit)"" is intact; the target entry exists (slug tax-or-benefit). Detector compared against the site dataset's display label ""tax (or benefit)"", which is taken from paragraph link text; the detector also cut the name at ""("" (read ""Tax"")."
curtailment,curtailment,Plan Curtailment,pointer to a term with no entry,False,False,"glossary slug plan-curtailment (labelled ""curtailment"")",artifact,"Pointer text ""Plan Curtailment"" is intact; the target entry exists (slug plan-curtailment). Detector compared against the site dataset's display label ""curtailment"", which is taken from paragraph link text."
derivative-instrument,derivative instruments,815-10-15-112,paragraph is a superseded placeholder,True,True,815-10-15-112,artifact,"Target is inside a paragraph range written as a run-on list in the entry; 815-10-15-112 reads ""Paragraph not used."". Placeholders inside a live range are normal FASB numbering practice; the range as a whole is live."
economic-interest,Economic Interest,958-810-55-6,paragraph not in snapshot,False,False,810-958-55-6,artifact,"The paragraph exists in the crawl but under a transposed key 810-958-55-6: the crawler entered industry subtopic 958-810 through Topic 810's cross-reference view and derived citations from that path. The raw HTML body cites it as 958-810-55-6. Not missing from FASB and not missing from the crawl, only mis-keyed."
environmental-credit-obligation,Environmental Credit Obligation,818-10-65-1A,paragraph not in snapshot,False,False,818-10-65-1,artifact,"Pending-text concatenation: the entry embeds ""...818-10-65-1"" immediately followed by the next sentence (""A...""), so the detector read ""818-10-65-1A"". Transition paragraph 818-10-65-1 exists (Accounting Standards Update 2026-02The following represents...)."
executive-officers,executive officers,942-210-S99-1,paragraph not in snapshot,False,False,210-942-S99-1,artifact,"The SEC S99 paragraph exists in the crawl but under a transposed key 210-942-S99-1: the crawler entered industry subtopic 942-210 through Topic 210's cross-reference view and derived citations from that path. The raw HTML body cites it as 942-210-S99-1. Not missing from FASB and not missing from the crawl, only mis-keyed."
fed-funds-effective-swap-rate-or-overnight-index-swap-rate,Fed Funds Effective Rate Overnight Index Swap Rate,815-20-65-4,paragraph is a superseded placeholder,True,True,815-20-65-4,superseded_target,"Target 815-20-65-4 exists but reads ""Paragraph superseded on 12/14/2022 after the end of the transition period stated in Accounting Standards Update No. 2018-16, Derivatives and Hedging (Topic 815): Inclusio"". The entry still carries the transition note (""(P)/(N) ... 815-20-65-4Glossary term superseded by ..."") that points to this removed transition paragraph, so the glossary keeps a pre-transition definition plus a note whose anchor is gone."
financial-guarantee-reinsurance-contract,financial guarantee reinsurance contracts,Financial Guarantee Insurance Contract,pointer to a term with no entry,False,False,"glossary slug financial-guarantee-insurance-contract (labelled ""financial guarantee insurance contracts"")",artifact,"Pointer text ""Financial Guarantee Insurance Contract"" is intact; the target entry exists (slug financial-guarantee-insurance-contract). Detector compared against the site dataset's display label ""financial guarantee insurance contracts"", which is taken from paragraph link text."
nonregistered-investment-partnerships-financial-highlights,financial highlights,946-205-50-20,paragraph not in snapshot,False,False,205-946-50-20,artifact,"The paragraph exists in the crawl but under a transposed key 205-946-50-20: the crawler entered industry subtopic 946-205 through Topic 205's cross-reference view and derived citations from that path. The raw HTML body cites it as 946-205-50-20. Not missing from FASB and not missing from the crawl, only mis-keyed."
foreign-activities,foreign activities,942-235-S99-1,paragraph not in snapshot,False,False,235-942-S99-1,artifact,"The SEC S99 paragraph exists in the crawl but under a transposed key 235-942-S99-1: the crawler entered industry subtopic 942-235 through Topic 235's cross-reference view and derived citations from that path. The raw HTML body cites it as 942-235-S99-1. Not missing from FASB and not missing from the crawl, only mis-keyed."
forgivable-loan,Forgivable Loan,832-10-65-2A,paragraph not in snapshot,False,False,832-10-65-2,artifact,"Pending-text concatenation: the entry embeds ""...832-10-65-2"" immediately followed by the next sentence (""A...""), so the detector read ""832-10-65-2A"". Transition paragraph 832-10-65-2 exists (Accounting Standards Update No. 2025-10The following represe...)."
forward-commitment-dollar-roll,forward commitment dollar rolls,Government National Mortgage Association Rolls,pointer to a term with no entry,False,False,"glossary slug government-national-mortgage-association-rolls (labelled ""Government National Mortgage Association [GNMA] rolls"")",artifact,"Pointer text ""Government National Mortgage Association Rolls"" is intact; the target entry exists (slug government-national-mortgage-association-rolls). Detector compared against the site dataset's display label ""Government National Mortgage Association [GNMA] rolls"", which is taken from paragraph link text."
fully-insured-experience-rated-arrangement,fully insured experience-rated arrangements,965-310-25-2,paragraph not in snapshot,False,False,310-965-25-2,artifact,"The paragraph exists in the crawl but under a transposed key 310-965-25-2: the crawler entered industry subtopic 965-310 through Topic 310's cross-reference view and derived citations from that path. The raw HTML body cites it as 965-310-25-2. Not missing from FASB and not missing from the crawl, only mis-keyed."
fully-insured-experience-rated-arrangement,fully insured experience-rated arrangements,965-310-25-3,paragraph not in snapshot,False,False,310-965-25-3,artifact,"The paragraph exists in the crawl but under a transposed key 310-965-25-3: the crawler entered industry subtopic 965-310 through Topic 310's cross-reference view and derived citations from that path. The raw HTML body cites it as 965-310-25-3. Not missing from FASB and not missing from the crawl, only mis-keyed."
goodwill,Goodwill,958-805-25-29,paragraph not in snapshot,False,False,805-958-25-29,artifact,"The paragraph exists in the crawl but under a transposed key 805-958-25-29: the crawler entered industry subtopic 958-805 through Topic 805's cross-reference view and derived citations from that path. The raw HTML body cites it as 958-805-25-29. Not missing from FASB and not missing from the crawl, only mis-keyed."
government-grant,Government Grant,832-10-65-2A,paragraph not in snapshot,False,False,832-10-65-2,artifact,"Pending-text concatenation: the entry embeds ""...832-10-65-2"" immediately followed by the next sentence (""A...""), so the detector read ""832-10-65-2A"". Transition paragraph 832-10-65-2 exists (Accounting Standards Update No. 2025-10The following represe...)."
grant-related-to-an-asset,Grant Related to an Asset,832-10-65-2A,paragraph not in snapshot,False,False,832-10-65-2,artifact,"Pending-text concatenation: the entry embeds ""...832-10-65-2"" immediately followed by the next sentence (""A...""), so the detector read ""832-10-65-2A"". Transition paragraph 832-10-65-2 exists (Accounting Standards Update No. 2025-10The following represe...)."
